,YEAR,ORIGIN_AIRPORT,DESTINATION_AIRPORT
0,2015,ANC,SEA
1,2015,LAX,PBI
2,2015,SFO,CLT
3,2015,LAX,MIA
4,2015,SEA,ANC
5,2015,SFO,MSP
6,2015,LAS,MSP
7,2015,LAX,CLT
8,2015,SFO,DFW
9,2015,LAS,ATL
10,2015,DEN,ATL
11,2015,LAS,MIA
12,2015,LAX,MSP
13,2015,SLC,ATL
14,2015,SEA,MSP
15,2015,ANC,SEA
16,2015,ANC,SEA
17,2015,SFO,IAH
18,2015,ANC,PDX
19,2015,PDX,MSP
20,2015,LAS,MCI
21,2015,SEA,MIA
22,2015,LAS,DFW
23,2015,LAX,MIA
24,2015,LAS,MSP
25,2015,LAX,IAH
26,2015,FAI,SEA
27,2015,MSP,FLL
28,2015,LAS,CLT
29,2015,DEN,MIA
30,2015,PHX,ORD
31,2015,PHX,MIA
32,2015,ANC,SEA
33,2015,SLC,ATL
34,2015,LAS,IAH
35,2015,LAS,HNL
36,2015,ANC,PHX
37,2015,SJU,EWR
38,2015,ANC,SEA
39,2015,SJU,JFK
40,2015,PBG,FLL
41,2015,PHX,DFW
42,2015,PHX,DFW
43,2015,ANC,PDX
44,2015,IAG,FLL
45,2015,SJU,EWR
46,2015,PHX,CLT
47,2015,ANC,SEA
48,2015,PSE,MCO
49,2015,BQN,EWR
50,2015,BQN,MCO
51,2015,SJU,BOS
52,2015,SJU,MCO
53,2015,BQN,MCO
54,2015,PSE,MCO
55,2015,SJU,BDL
56,2015,ORD,PHX
57,2015,GEG,SEA
58,2015,HNL,ITO
59,2015,ONT,SFO
60,2015,HNL,KOA
61,2015,ANC,SEA
62,2015,HNL,OGG
63,2015,ORD,IAH
64,2015,MCO,MIA
65,2015,BOS,MYR
66,2015,HIB,MSP
67,2015,ABR,MSP
68,2015,MAF,IAH
69,2015,SEA,PHX
70,2015,DFW,MIA
71,2015,BOS,MIA
72,2015,MKE,IAH
73,2015,PDX,PHX
74,2015,IAH,MIA
75,2015,BNA,DTW
76,2015,BRO,IAH
77,2015,VPS,ATL
78,2015,BOI,SFO
79,2015,BJI,MSP
80,2015,HNL,LIH
81,2015,BNA,ATL
82,2015,SGF,DFW
83,2015,PHL,IAH
84,2015,PDX,DEN
85,2015,SEA,DEN
86,2015,DEN,DFW
87,2015,SBN,ORD
88,2015,PHL,MCO
89,2015,ORD,FLL
90,2015,RDD,SFO
91,2015,EUG,DEN
92,2015,SFO,DEN
93,2015,ORD,DEN
94,2015,IAD,IAH
95,2015,BUF,JFK
96,2015,PWM,JFK
97,2015,JFK,SJU
98,2015,CRP,IAH
99,2015,PIA,DTW
100,2015,ORD,DTW
101,2015,FAT,LAX
102,2015,SMF,DEN
103,2015,AUS,LAX
104,2015,BOS,BWI
105,2015,ORD,BOS
106,2015,PHX,DTW
107,2015,MCI,ATL
108,2015,BOS,DTW
109,2015,ATL,IAD
110,2015,JAX,EWR
111,2015,MFR,DEN
112,2015,SLC,IAH
113,2015,IDA,DEN
114,2015,MSN,DEN
115,2015,MKE,DTW
116,2015,GEG,DEN
117,2015,SEA,IAH
118,2015,DCA,IAH
119,2015,SAT,DFW
120,2015,JFK,MIA
121,2015,BOS,PBI
122,2015,BOS,JFK
123,2015,JFK,BQN
124,2015,DFW,ATL
125,2015,CHS,EWR
126,2015,MKE,DEN
127,2015,MSP,DEN
128,2015,CHS,DFW
129,2015,DEN,LAX
130,2015,SBA,DEN
131,2015,SMX,LAX
132,2015,HNL,KOA
133,2015,BOS,BUF
134,2015,PDX,EWR
135,2015,IND,PHX
136,2015,LAX,DEN
137,2015,CLE,IAH
138,2015,BOS,EWR
139,2015,DEN,PHX
140,2015,MCI,PHX
141,2015,AUS,DFW
142,2015,LAX,DFW
143,2015,GSP,ATL
144,2015,MCO,EWR
145,2015,MCI,IAH
146,2015,BDL,IAD
147,2015,ABI,DFW
148,2015,RIC,IAH
149,2015,BFL,DEN
150,2015,SAT,SFO
151,2015,OMA,IAH
152,2015,RDM,DEN
153,2015,FLL,BDL
154,2015,CID,ATL
155,2015,SFO,DEN
156,2015,MCO,LAX
157,2015,TPA,EWR
158,2015,SEA,DFW
159,2015,BOS,DFW
160,2015,SYR,JFK
161,2015,ROC,JFK
162,2015,TYR,DFW
163,2015,MCI,ORD
164,2015,LAN,ORD
165,2015,BUF,EWR
166,2015,XNA,DFW
167,2015,GSO,EWR
168,2015,ORD,LGA
169,2015,LAX,IAH
170,2015,EWR,MIA
171,2015,ONT,DEN
172,2015,MSP,DEN
173,2015,PBI,IAH
174,2015,PHX,IAH
175,2015,RSW,IAH
176,2015,EWR,MCO
177,2015,OMA,ORD
178,2015,SMF,PHX
179,2015,OAK,PHX
180,2015,PVD,CLT
181,2015,RNO,DEN
182,2015,PIT,IAH
183,2015,DEN,IAH
184,2015,BOS,BWI
185,2015,LAS,BWI
186,2015,ABQ,HOU
187,2015,PHX,SLC
188,2015,PIT,FLL
189,2015,PVD,BWI
190,2015,SFO,ATL
191,2015,SFO,ORD
192,2015,MCO,EWR
193,2015,PDX,IAH
194,2015,BOS,ORD
195,2015,SFO,LAX
196,2015,SAT,LAX
197,2015,BOS,LAX
198,2015,SEA,EWR
199,2015,LAX,ORD
200,2015,IAH,PHX
201,2015,MCO,PHX
202,2015,SFO,PHX
203,2015,DFW,MCO
204,2015,MIA,PHL
205,2015,SLC,DFW
206,2015,DCA,DFW
207,2015,MIA,DFW
208,2015,BWI,MIA
209,2015,DFW,LGA
210,2015,LGA,DFW
211,2015,DEN,ORD
212,2015,MCI,DFW
213,2015,MCO,DFW
214,2015,SFO,DFW
215,2015,TUL,DFW
216,2015,LGA,MIA
217,2015,LIT,DFW
218,2015,MIA,LGA
219,2015,LAS,DFW
220,2015,PDX,DFW
221,2015,TPA,DFW
222,2015,SMF,DFW
223,2015,MSY,MIA
224,2015,LAX,ORD
225,2015,OMA,DFW
226,2015,OKC,DFW
227,2015,SEA,ANC
228,2015,FAI,ANC
229,2015,SEA,SJC
230,2015,SEA,OAK
231,2015,PDX,SJC
232,2015,LAX,SEA
233,2015,PHX,SEA
234,2015,DEN,SEA
235,2015,GEG,SEA
236,2015,RSW,JFK
237,2015,PBI,JFK
238,2015,JFK,PBI
239,2015,TPA,JFK
240,2015,FLL,LGA
241,2015,OAK,LGB
242,2015,LGA,FLL
243,2015,JFK,MCO
244,2015,EWR,FLL
245,2015,JFK,TPA
246,2015,PSE,JFK
247,2015,MSY,JFK
248,2015,AUS,JFK
249,2015,BQN,JFK
250,2015,TPA,BOS
251,2015,JAX,JFK
252,2015,DCA,BOS
253,2015,JFK,ATL
254,2015,LGA,DTW
255,2015,RNO,SLC
256,2015,BOS,JFK
257,2015,BOS,MSP
258,2015,LGA,ATL
259,2015,ORD,ATL
260,2015,ANC,MSP
261,2015,ATW,ATL
262,2015,PHX,ATL
263,2015,PNS,ATL
264,2015,MCO,SLC
265,2015,ONT,DFW
266,2015,DCA,MIA
267,2015,RIC,ATL
268,2015,LAX,ATL
269,2015,BOS,ATL
270,2015,LAS,DTW
271,2015,OKC,ATL
272,2015,MCO,MSP
273,2015,MEM,ATL
274,2015,TUL,ATL
275,2015,BWI,DTW
276,2015,BOS,PHL
277,2015,MCO,LGA
278,2015,FLL,JFK
279,2015,SJU,JFK
280,2015,BOS,DCA
281,2015,TYS,DFW
282,2015,MHT,ORD
283,2015,SAV,EWR
284,2015,MEM,EWR
285,2015,CLT,ORD
286,2015,TYS,IAD
287,2015,GRB,ORD
288,2015,ABE,DTW
289,2015,JAN,ATL
290,2015,OAJ,ATL
291,2015,FAR,ORD
292,2015,JAN,ORD
293,2015,ERI,ORD
294,2015,ATW,ORD
295,2015,LEX,ORD
296,2015,CWA,ORD
297,2015,MSO,DEN
298,2015,ORD,MIA
299,2015,CLE,FLL
300,2015,IAH,SFO
301,2015,SEA,DEN
302,2015,SFO,IAH
303,2015,TTN,ATL
304,2015,ATL,TTN
305,2015,HNL,ITO
306,2015,MAF,DFW
307,2015,AMA,DFW
308,2015,CLL,DFW
309,2015,HOU,DFW
310,2015,DFW,BTR
311,2015,JLN,DFW
312,2015,CID,DFW
313,2015,MLI,DFW
314,2015,GSP,DFW
315,2015,RDU,JFK
316,2015,CVG,MIA
317,2015,MHK,DFW
318,2015,MOB,DFW
319,2015,TLH,DFW
320,2015,PNS,MIA
321,2015,BHM,MIA
322,2015,CVG,DFW
323,2015,CAE,DFW
324,2015,TXK,DFW
325,2015,OAK,LAS
326,2015,DFW,OAK
327,2015,ACY,RSW
328,2015,DTW,LGA
329,2015,DFW,FLL
330,2015,SMF,LAX
331,2015,RAP,DEN
332,2015,TUS,SFO
333,2015,EAU,ORD
334,2015,DLH,ORD
335,2015,FSD,ORD
336,2015,AUS,SFO
337,2015,FAT,SEA
338,2015,ONT,PDX
339,2015,INL,BRD
340,2015,CMX,ORD
341,2015,SMF,SFO
342,2015,BOI,LAX
343,2015,SPI,ORD
344,2015,CLD,LAX
345,2015,COD,DEN
346,2015,FAT,SFO
347,2015,CMH,MIA
348,2015,LRD,DFW
349,2015,PSC,DEN
350,2015,CPR,DEN
351,2015,ACV,SFO
352,2015,DAL,IAH
353,2015,PAH,ORD
354,2015,PSC,SFO
355,2015,CID,ORD
356,2015,EUG,SFO
357,2015,DFW,DEN
358,2015,MRY,SFO
359,2015,SLC,LAX
360,2015,ESC,DTW
361,2015,MFR,SFO
362,2015,FAT,DEN
363,2015,SFO,EWR
364,2015,LAS,IAH
365,2015,EWR,SFO
366,2015,ISN,DEN
367,2015,HNL,LIH
368,2015,PSP,SFO
369,2015,PSP,DEN
370,2015,SAT,IAH
371,2015,LAX,EWR
372,2015,LAX,SFO
373,2015,CLE,IAD
374,2015,CAE,IAD
375,2015,PHX,DEN
376,2015,SMF,IAH
377,2015,JFK,SFO
378,2015,BOS,PHX
379,2015,BOS,CLT
380,2015,DTW,MIA
381,2015,FLL,EWR
382,2015,GEG,DEN
383,2015,SAT,STL
384,2015,ONT,DEN
385,2015,CLE,EWR
386,2015,DFW,PHX
387,2015,MFE,DFW
388,2015,STL,DFW
389,2015,SJU,MIA
390,2015,MKE,DFW
391,2015,SEA,SFO
392,2015,SEA,LAS
393,2015,BTV,JFK
394,2015,JFK,FLL
395,2015,SFO,LGB
396,2015,PBI,BOS
397,2015,MCO,JFK
398,2015,SJU,MCO
399,2015,BDL,ATL
400,2015,RDU,ATL
401,2015,SFO,SLC
402,2015,TUS,IAH
403,2015,PIA,ATL
404,2015,IND,DEN
405,2015,MCI,DEN
406,2015,DFW,DEN
407,2015,FSM,DFW
408,2015,AEX,DFW
409,2015,SPS,DFW
410,2015,ACT,DFW
411,2015,SJT,DFW
412,2015,JAN,DFW
413,2015,HNL,OGG
414,2015,OKC,LAX
415,2015,FAR,DEN
416,2015,SFO,IAH
417,2015,EWR,FLL
418,2015,MTJ,DEN
419,2015,RSW,DTW
420,2015,GCC,RKS
421,2015,MSY,EWR
422,2015,ORD,MCO
423,2015,RIC,ORD
424,2015,RDM,SFO
425,2015,OGG,HNL
426,2015,SJC,SLC
427,2015,ORD,MBS
428,2015,EWR,CLT
429,2015,PHX,BWI
430,2015,SEA,IAD
431,2015,LAS,SFO
432,2015,DFW,MIA
433,2015,BNA,DFW
434,2015,PHX,DFW
435,2015,BOS,MIA
436,2015,LAX,STL
437,2015,OAK,SEA
438,2015,SEA,LAX
439,2015,BOS,IAD
440,2015,LAX,JFK
441,2015,DCA,FLL
442,2015,DTW,BOS
443,2015,BNA,LAX
444,2015,PHL,ATL
445,2015,PHX,MSP
446,2015,SJU,FLL
447,2015,VPS,IAH
448,2015,GUC,DEN
449,2015,MIA,LGA
450,2015,RIC,MIA
451,2015,DTW,LGA
452,2015,ORF,MIA
453,2015,MOT,DEN
454,2015,STL,MIA
455,2015,BOS,FLL
456,2015,MLU,IAH
457,2015,MAF,DEN
458,2015,LAX,LAS
459,2015,PDX,ORD
460,2015,JFK,SJU
461,2015,KOA,HNL
462,2015,EUG,SLC
463,2015,RNO,PHX
464,2015,PHX,CLT
465,2015,CMH,ATL
466,2015,HOU,ATL
467,2015,HOU,PHX
468,2015,DTW,DFW
469,2015,BOS,JFK
470,2015,DFW,DCA
471,2015,MSP,DFW
472,2015,SEA,SNA
473,2015,BDL,DCA
474,2015,SJU,BOS
475,2015,FLL,EWR
476,2015,MOB,ATL
477,2015,SAN,SLC
478,2015,LAS,SLC
479,2015,DCA,DTW
480,2015,SMF,SLC
481,2015,DEN,DTW
482,2015,SFO,ATL
483,2015,LGA,MSP
484,2015,LAW,DFW
485,2015,BRO,DFW
486,2015,PIB,MEI
487,2015,CHS,IAH
488,2015,MEM,IAH
489,2015,MGM,ATL
490,2015,SLC,DEN
491,2015,OMA,DEN
492,2015,FAR,DFW
493,2015,DCA,JFK
494,2015,MSN,DFW
495,2015,CMH,LGA
496,2015,SBP,LAX
497,2015,COS,IAH
498,2015,OAK,SLC
499,2015,LAR,DEN
500,2015,SAN,LAX
501,2015,BFL,SFO
502,2015,DRO,PHX
503,2015,MRY,PHX
504,2015,FAT,PHX
505,2015,MSP,ORD
506,2015,DFW,ORD
507,2015,BIS,DEN
508,2015,ITO,HNL
509,2015,PBI,LGA
510,2015,SAT,ORD
511,2015,FLL,IAH
512,2015,BUF,CLT
513,2015,SEA,ORD
514,2015,CMH,FLL
515,2015,LAS,HOU
516,2015,PVD,MCO
517,2015,SAN,BWI
518,2015,SAN,MDW
519,2015,SMF,PHX
520,2015,SAN,DEN
521,2015,SAN,EWR
522,2015,SJC,PHX
523,2015,SJC,DFW
524,2015,DFW,BOS
525,2015,SAN,DFW
526,2015,LAX,DFW
527,2015,ONT,SEA
528,2015,RDU,MIA
529,2015,ROC,ATL
530,2015,MCO,ATL
531,2015,DCA,MSP
532,2015,CAE,IAH
533,2015,BTR,ATL
534,2015,IAD,MSP
535,2015,SAV,DFW
536,2015,GRI,DFW
537,2015,PDX,SAN
538,2015,DFW,MSP
539,2015,PSP,SLC
540,2015,ISN,MSP
541,2015,HLN,DEN
542,2015,MCO,IAH
543,2015,BOS,RIC
544,2015,BZN,DEN
545,2015,FAT,SLC
546,2015,FSD,DEN
547,2015,IAH,ORD
548,2015,EWR,IAH
549,2015,PIT,DTW
550,2015,FLL,CLT
551,2015,MIA,EWR
552,2015,DEN,ATL
553,2015,MDW,PHX
554,2015,LAX,PHL
555,2015,IAD,DFW
556,2015,LAX,AUS
557,2015,CLT,DFW
558,2015,PHL,DFW
559,2015,DFW,CLT
560,2015,ATL,DFW
561,2015,RDU,DFW
562,2015,SAT,DFW
563,2015,FAI,SEA
564,2015,FLL,BOS
565,2015,RSW,BOS
566,2015,MIA,ATL
567,2015,BWI,MSP
568,2015,MDT,ATL
569,2015,EWR,BOS
570,2015,SCE,DTW
571,2015,GEG,DEN
572,2015,LEX,DFW
573,2015,VPS,DFW
574,2015,BWI,ORD
575,2015,SBA,PHX
576,2015,SBP,PHX
577,2015,PNS,IAH
578,2015,COS,DEN
579,2015,CLE,ORD
580,2015,LIH,HNL
581,2015,TWF,SLC
582,2015,SAN,ATL
583,2015,BDL,ORD
584,2015,LAX,PHX
585,2015,EWR,PHX
586,2015,PHL,CLT
587,2015,AUS,IAH
588,2015,SFO,EWR
589,2015,RNO,SFO
590,2015,SEA,MDW
591,2015,SJU,TPA
592,2015,HNL,LAX
593,2015,CLT,PHL
594,2015,JFK,PHX
595,2015,SAN,PHX
596,2015,ONT,PHX
597,2015,MIA,CLT
598,2015,PBI,ORD
599,2015,EWR,DFW
600,2015,ANC,OTZ
601,2015,SAN,SEA
602,2015,SAN,PDX
603,2015,JFK,LAX
604,2015,LGA,MCO
605,2015,JFK,RSW
606,2015,BOS,PIT
607,2015,SFO,JFK
608,2015,MSP,ATL
609,2015,AUS,ATL
610,2015,COS,ATL
611,2015,DTW,ATL
612,2015,MSY,LGA
613,2015,SEA,ATL
614,2015,EWR,ATL
615,2015,TPA,ATL
616,2015,BPT,DFW
617,2015,RIC,IAD
618,2015,EWR,JAX
619,2015,GPT,IAH
620,2015,TPA,DEN
621,2015,RSW,DEN
622,2015,DEN,DFW
623,2015,CLE,MCO
624,2015,GPT,DFW
625,2015,MGM,DFW
626,2015,SAN,LAX
627,2015,ACY,MYR
628,2015,STC,ORD
629,2015,BOI,LAX
630,2015,SFO,SAN
631,2015,MSP,LAX
632,2015,BFL,PHX
633,2015,TPA,ORD
634,2015,ORD,IAD
635,2015,HNL,OGG
636,2015,JFK,MSY
637,2015,MKE,ORD
638,2015,MIA,ORD
639,2015,SEA,PHL
640,2015,SAT,ATL
641,2015,PDX,MDW
642,2015,LAS,PHX
643,2015,JAX,DFW
644,2015,MSY,DFW
645,2015,PIT,DFW
646,2015,COS,DFW
647,2015,SEA,SAN
648,2015,PDX,SAN
649,2015,SEA,SLC
650,2015,PVD,MCO
651,2015,HPN,PBI
652,2015,JFK,LAS
653,2015,MLB,ATL
654,2015,PIT,ATL
655,2015,SAN,MSP
656,2015,ABE,ATL
657,2015,SPI,DFW
658,2015,PLN,DTW
659,2015,PDX,ONT
660,2015,RSW,EWR
661,2015,SJC,MSP
662,2015,CIU,DTW
663,2015,MCO,CLT
664,2015,BWI,CLT
665,2015,EWR,CLT
666,2015,AUS,ATL
667,2015,CAK,MCO
668,2015,FLL,LAS
669,2015,MKE,LAS
670,2015,PHX,MDW
671,2015,SJC,LAS
672,2015,LAS,EWR
673,2015,ORD,EWR
674,2015,DSM,DFW
675,2015,IAH,DFW
676,2015,RIC,DFW
677,2015,BLI,SEA
678,2015,PDX,LAX
679,2015,SEA,PSP
680,2015,LAX,PDX
681,2015,SEA,DFW
682,2015,SLC,SJC
683,2015,BDL,MIA
684,2015,RSW,ATL
685,2015,TPA,LGA
686,2015,MCO,LGA
687,2015,SFO,MSP
688,2015,CRP,DFW
689,2015,SHV,DFW
690,2015,BTR,DFW
691,2015,MLU,DFW
692,2015,PIA,DFW
693,2015,ROW,DFW
694,2015,FWA,DFW
695,2015,CHS,MIA
696,2015,GSO,MIA
697,2015,LGA,FLL
698,2015,DTW,ATL
699,2015,DTW,FLL
700,2015,PDX,BUR
701,2015,MSN,ORD
702,2015,COS,LAX
703,2015,GCC,DEN
704,2015,LAX,IAH
705,2015,SNA,IAH
706,2015,BUF,ORD
707,2015,SFO,LAX
708,2015,DAL,MDW
709,2015,LIT,DAL
710,2015,MHT,MCO
711,2015,ALB,MCO
712,2015,SAT,BWI
713,2015,OKC,ATL
714,2015,SNA,PHX
715,2015,DFW,STL
716,2015,LGA,DFW
717,2015,LAS,ORD
718,2015,BNA,MIA
719,2015,MSP,MIA
720,2015,SNA,DFW
721,2015,MIA,DCA
722,2015,JFK,BOS
723,2015,BOS,DTW
724,2015,OMA,ATL
725,2015,PIT,MSP
726,2015,SNA,ATL
727,2015,FLL,ATL
728,2015,SNA,MSP
729,2015,ATL,LGA
730,2015,BHM,ATL
731,2015,BNA,ATL
732,2015,FLL,DFW
733,2015,SAN,JFK
734,2015,BHM,DFW
735,2015,HOB,IAH
736,2015,LNK,DEN
737,2015,DEN,MSP
738,2015,LAS,DEN
739,2015,SNA,DEN
740,2015,SGF,DFW
741,2015,CMI,DFW
742,2015,COU,DFW
743,2015,BWI,FLL
744,2015,MCI,IAH
745,2015,GTF,DEN
746,2015,BNA,CVG
747,2015,SNA,SFO
748,2015,PHX,LAX
749,2015,ATL,IAH
750,2015,EKO,SLC
751,2015,IAD,JFK
752,2015,HNL,KOA
753,2015,FAT,SFO
754,2015,LAX,MSP
755,2015,PHX,SFO
756,2015,PIT,CLT
757,2015,MSP,CLT
758,2015,BWI,MCO
759,2015,MSY,ATL
760,2015,PHX,DAL
761,2015,FLL,ORD
762,2015,PHL,PHX
763,2015,LAX,SFO
764,2015,MEM,DFW
765,2015,BOS,DFW
766,2015,AUS,DFW
767,2015,DFW,TPA
768,2015,CLE,DFW
769,2015,LAX,DFW
770,2015,SJC,SEA
771,2015,PDX,SNA
772,2015,LAS,PDX
773,2015,SEA,SMF
774,2015,LGB,OAK
775,2015,LAX,JFK
776,2015,AVL,ATL
777,2015,HSV,ATL
778,2015,BNA,ORD
779,2015,SAF,DFW
780,2015,GRR,DFW
781,2015,XNA,ORD
782,2015,SUX,ORD
783,2015,LFT,DFW
784,2015,ORD,TPA
785,2015,PSP,IAH
786,2015,HYS,DEN
787,2015,BOS,EWR
788,2015,HNL,ITO
789,2015,JFK,MIA
790,2015,DTW,LAS
791,2015,EWR,MIA
792,2015,SAN,IAH
793,2015,DFW,IAH
794,2015,RIC,CLT
795,2015,TPA,CLT
796,2015,TPA,EWR
797,2015,CAK,ATL
798,2015,MCO,ATL
799,2015,ABQ,DAL
800,2015,PVD,FLL
801,2015,PHL,FLL
802,2015,PHL,LAS
803,2015,MIA,DEN
804,2015,TUL,DFW
805,2015,LAX,BOS
806,2015,DFW,LGA
807,2015,BWI,DFW
808,2015,DFW,LAX
809,2015,SFO,JFK
810,2015,MKE,MSP
811,2015,PDX,MSP
812,2015,MCO,DCA
813,2015,JFK,BUF
814,2015,MSP,LAS
815,2015,ATL,MCO
816,2015,MFE,IAH
817,2015,TTN,RDU
818,2015,ELP,ORD
819,2015,HSV,ORD
820,2015,ABQ,ORD
821,2015,RDU,SFO
822,2015,EWR,LAX
823,2015,DCA,CLT
824,2015,MCO,EWR
825,2015,DCA,MIA
826,2015,JFK,SFO
827,2015,JFK,PBI
828,2015,LGA,ATL
829,2015,PSP,PHX
830,2015,DVL,JMS
831,2015,ALB,ORD
832,2015,PDX,SFO
833,2015,EWR,TPA
834,2015,JAX,CLT
835,2015,CLE,CLT
836,2015,CLT,MIA
837,2015,IAH,CLT
838,2015,IND,CLT
839,2015,DFW,CLT
840,2015,LGA,ORD
841,2015,BOS,IAH
842,2015,BOS,ORD
843,2015,SFO,EWR
844,2015,SNA,DEN
845,2015,SFO,IAH
846,2015,JFK,LAX
847,2015,LAS,SFO
848,2015,BUF,FLL
849,2015,BWI,HOU
850,2015,BWI,LAS
851,2015,CLE,PHX
852,2015,DCA,DAL
853,2015,ISP,FLL
854,2015,MDW,DAL
855,2015,MDW,TPA
856,2015,MSP,MDW
857,2015,PIT,MCO
858,2015,SAT,BNA
859,2015,HOU,MCO
860,2015,MCO,SFO
861,2015,EWR,DEN
862,2015,ORD,PHX
863,2015,ATL,CLT
864,2015,SLC,PHX
865,2015,BOI,PHX
866,2015,DCA,PHX
867,2015,JFK,LAX
868,2015,ATL,MIA
869,2015,LAX,JFK
870,2015,SFO,MIA
871,2015,BOS,LAX
872,2015,MIA,LAS
873,2015,DFW,BNA
874,2015,LGA,ORD
875,2015,FAT,DFW
876,2015,BOS,ORD
877,2015,LAS,DFW
878,2015,MIA,IAH
879,2015,DFW,MCO
880,2015,MCO,LAX
881,2015,MIA,BOS
882,2015,TPA,DFW
883,2015,SEA,DFW
884,2015,DFW,ATL
885,2015,TUS,DFW
886,2015,DFW,MIA
887,2015,LGA,MIA
888,2015,EWR,SEA
889,2015,MSP,SEA
890,2015,ANC,SEA
891,2015,PSP,SFO
892,2015,SFO,SEA
893,2015,SJC,PDX
894,2015,PDX,SEA
895,2015,LAX,SEA
896,2015,SEA,LAX
897,2015,SNA,SEA
898,2015,BUR,SEA
899,2015,LAS,SEA
900,2015,PHX,PDX
901,2015,SLC,LAX
902,2015,PDX,HNL
903,2015,SAN,OGG
904,2015,OAK,LIH
905,2015,LAX,BOS
906,2015,BOS,DCA
907,2015,BOS,SAN
908,2015,DCA,MCO
909,2015,BOS,JAX
910,2015,PDX,LGB
911,2015,BOS,HOU
912,2015,BOS,AUS
913,2015,PIT,FLL
914,2015,SEA,LAX
915,2015,PDX,JFK
916,2015,JFK,LAX
917,2015,SEA,DTW
918,2015,SFO,DTW
919,2015,DCA,ATL
920,2015,ORF,ATL
921,2015,DAB,ATL
922,2015,PBI,ATL
923,2015,SLC,MSP
924,2015,SEA,MSP
925,2015,DAY,DFW
926,2015,MSP,PHX
927,2015,LGA,PBI
928,2015,RSW,LGA
929,2015,MIA,LGA
930,2015,CLE,ATL
931,2015,PBI,LGA
932,2015,JFK,SJU
933,2015,MKE,ATL
934,2015,RDU,BOS
935,2015,JFK,SFO
936,2015,FLL,LGA
937,2015,LAX,DTW
938,2015,LAS,JFK
939,2015,MSP,MIA
940,2015,MSP,RSW
941,2015,JFK,MCO
942,2015,CLE,ORD
943,2015,LFT,IAH
944,2015,SHV,ATL
945,2015,ROC,LGA
946,2015,CID,MSP
947,2015,PVD,ORD
948,2015,ORD,PHX
949,2015,CLE,RSW
950,2015,DEN,MCO
951,2015,MCO,DEN
952,2015,DFW,DSM
953,2015,GRK,DFW
954,2015,PNS,DFW
955,2015,GJT,DFW
956,2015,HPN,ORD
957,2015,BMI,DFW
958,2015,DFW,MAF
959,2015,ATL,FLL
960,2015,ACY,FLL
961,2015,LBE,RSW
962,2015,IAH,LAS
963,2015,FLL,MCO
964,2015,FLL,BOS
965,2015,ASE,DEN
966,2015,BUR,SFO
967,2015,SAN,SLC
968,2015,KOA,HNL
969,2015,SEA,PDX
970,2015,RKS,DEN
971,2015,SBA,SFO
972,2015,BOI,ORD
973,2015,CPR,SLC
974,2015,COS,DEN
975,2015,ORD,DEN
976,2015,PHX,ORD
977,2015,MSY,IAH
978,2015,CLE,RSW
979,2015,MIA,TPA
980,2015,BTR,IAH
981,2015,BTV,ORD
982,2015,FLL,BWI
983,2015,SFO,BOI
984,2015,ORD,SFO
985,2015,SFO,JFK
986,2015,BDL,FLL
987,2015,BWI,FLL
988,2015,CMH,TPA
989,2015,DAL,BWI
990,2015,DAL,STL
991,2015,FLL,BWI
992,2015,MCO,LAS
993,2015,MDW,MCO
994,2015,OAK,HOU
995,2015,SAT,ELP
996,2015,TPA,BWI
997,2015,TUS,DEN
998,2015,SNA,EWR
999,2015,RDU,CLT
